r,Bi-Bi,Total
14.41000,74.07408,74.07408
14.43000,71.29630,71.29630
14.45000,72.22222,72.22222
14.47000,72.68519,72.68519
14.49000,81.48148,81.48148
14.51000,76.38889,76.38889
14.53000,75.00000,75.00000
14.55000,68.51852,68.51852
14.57000,83.79630,83.79630
14.59000,78.24074,78.24074
14.61000,80.55556,80.55556
14.63000,91.66667,91.66667
14.65000,70.83333,70.83333
14.67000,81.94445,81.94445
14.69000,76.85185,76.85185
14.71000,79.62963,79.62963
14.73000,90.74074,90.74074
14.75000,87.03704,87.03704
14.77000,84.25926,84.25926
14.79000,79.62963,79.62963
14.81000,82.87037,82.87037
14.83000,86.11111,86.11111
14.85000,83.79630,83.79630
14.87000,72.68519,72.68519
14.89000,72.22222,72.22222
14.91000,74.53704,74.53704
14.93000,82.87037,82.87037
14.95000,77.77778,77.77778
14.97000,74.07408,74.07408
14.99000,91.66667,91.66667
15.01000,71.29630,71.29630
15.03000,71.29630,71.29630
15.05000,81.48148,81.48148
15.07000,74.53704,74.53704
15.09000,87.50000,87.50000
15.11000,78.70371,78.70371
15.13000,81.94445,81.94445
15.15000,78.24074,78.24074
15.17000,81.48148,81.48148
15.19000,87.03704,87.03704
15.21000,93.05556,93.05556
15.23000,81.94445,81.94445
15.25000,80.55556,80.55556
15.27000,84.25926,84.25926
15.29000,85.64815,85.64815
15.31000,83.33334,83.33334
15.33000,79.62963,79.62963
15.35000,81.01852,81.01852
15.37000,81.48148,81.48148
15.39000,83.79630,83.79630
15.41000,94.44445,94.44445
15.43000,81.48148,81.48148
15.45000,82.40741,82.40741
15.47000,100.00000,100.00000
15.49000,81.01852,81.01852
15.51000,93.98148,93.98148
15.53000,88.88889,88.88889
15.55000,84.72222,84.72222
15.57000,76.38889,76.38889
15.59000,82.40741,82.40741
15.61000,88.42593,88.42593
15.63000,89.35185,89.35185
15.65000,91.66667,91.66667
15.67000,91.20371,91.20371
15.69000,74.07408,74.07408
15.71000,96.75926,96.75926
15.73000,103.24074,103.24074
15.75000,95.83334,95.83334
15.77000,95.37037,95.37037
15.79000,93.98148,93.98148
15.81000,96.29630,96.29630
15.83000,98.14815,98.14815
15.85000,96.75926,96.75926
15.87000,100.92593,100.92593
15.89000,100.00000,100.00000
15.91000,108.33334,108.33334
15.93000,82.87037,82.87037
15.95000,81.94445,81.94445
15.97000,82.40741,82.40741
15.99000,79.16667,79.16667
16.01000,87.03704,87.03704
16.03000,91.20371,91.20371
16.05000,93.51852,93.51852
16.07000,94.90741,94.90741
16.09000,106.94445,106.94445
16.11000,94.90741,94.90741
16.13000,97.68519,97.68519
16.15000,104.62963,104.62963
16.17000,95.37037,95.37037
16.19000,105.55556,105.55556
16.21000,90.27778,90.27778
16.23000,92.59259,92.59259
16.25000,85.18519,85.18519
16.27000,100.92593,100.92593
16.29000,94.44445,94.44445
16.31000,94.90741,94.90741
16.33000,100.46297,100.46297
16.35000,94.44445,94.44445
16.37000,101.85185,101.85185
16.39000,92.12963,92.12963
16.41000,108.79630,108.79630
16.43000,96.29630,96.29630
16.45000,103.70371,103.70371
16.47000,96.75926,96.75926
16.49000,100.00000,100.00000
16.51000,93.51852,93.51852
16.53000,94.44445,94.44445
16.55000,108.79630,108.79630
16.57000,88.42593,88.42593
16.59000,106.01852,106.01852
16.61000,97.22222,97.22222
16.63000,102.31482,102.31482
16.65000,107.40741,107.40741
16.67000,102.31482,102.31482
16.69000,97.68519,97.68519
16.71000,103.24074,103.24074
16.73000,101.38889,101.38889
16.75000,118.51852,118.51852
16.77000,105.09259,105.09259
16.79000,98.14815,98.14815
16.81000,100.00000,100.00000
16.83000,112.96297,112.96297
16.85000,101.38889,101.38889
16.87000,114.35185,114.35185
16.89000,104.16667,104.16667
16.91000,98.61111,98.61111
16.93000,87.96296,87.96296
16.95000,103.70371,103.70371
16.97000,102.77778,102.77778
16.99000,100.46297,100.46297
17.01000,105.09259,105.09259
17.03000,117.59260,117.59260
17.05000,93.05556,93.05556
17.07000,94.90741,94.90741
17.09000,106.94445,106.94445
17.11000,110.18519,110.18519
17.13000,100.92593,100.92593
17.15000,104.16667,104.16667
17.17000,106.94445,106.94445
17.19000,117.12963,117.12963
17.21000,100.46297,100.46297
17.23000,117.12963,117.12963
17.25000,108.79630,108.79630
17.27000,111.57408,111.57408
17.29000,109.72222,109.72222
17.31000,101.38889,101.38889
17.33000,97.22222,97.22222
17.35000,105.55556,105.55556
17.37000,107.40741,107.40741
17.39000,118.51852,118.51852
17.41000,113.42593,113.42593
17.43000,110.18519,110.18519
17.45000,112.03704,112.03704
17.47000,115.74074,115.74074
17.49000,114.81482,114.81482
17.51000,120.83334,120.83334
17.53000,108.79630,108.79630
17.55000,111.57408,111.57408
17.57000,119.44445,119.44445
17.59000,107.87037,107.87037
17.61000,110.64815,110.64815
17.63000,117.12963,117.12963
17.65000,103.70371,103.70371
17.67000,110.64815,110.64815
17.69000,125.46297,125.46297
17.71000,110.64815,110.64815
17.73000,117.12963,117.12963
17.75000,116.20371,116.20371
17.77000,117.59260,117.59260
17.79000,110.18519,110.18519
17.81000,105.09259,105.09259
17.83000,110.18519,110.18519
17.85000,114.35185,114.35185
17.87000,128.70371,128.70371
17.89000,109.25926,109.25926
17.91000,115.27778,115.27778
17.93000,112.96297,112.96297
17.95000,122.68519,122.68519
17.97000,123.14815,123.14815
17.99000,111.11111,111.11111
18.01000,118.98148,118.98148
18.03000,114.35185,114.35185
18.05000,123.61111,123.61111
18.07000,120.37037,120.37037
18.09000,115.74074,115.74074
18.11000,116.20371,116.20371
18.13000,121.75926,121.75926
18.15000,114.81482,114.81482
18.17000,116.20371,116.20371
18.19000,118.51852,118.51852
18.21000,105.55556,105.55556
18.23000,121.75926,121.75926
18.25000,109.72222,109.72222
18.27000,106.48148,106.48148
18.29000,123.61111,123.61111
18.31000,111.11111,111.11111
18.33000,110.18519,110.18519
18.35000,129.16667,129.16667
18.37000,119.44445,119.44445
18.39000,120.83334,120.83334
18.41000,112.96297,112.96297
18.43000,131.01852,131.01852
18.45000,116.20371,116.20371
18.47000,133.33334,133.33334
18.49000,132.87037,132.87037
18.51000,120.37037,120.37037
18.53000,125.00000,125.00000
18.55000,127.31482,127.31482
