r,Bi-Bi,Total
16.55000,0.56324,0.56324
16.57000,-0.68131,-0.68131
16.59000,0.36542,0.36542
16.61000,-0.17911,-0.17911
16.63000,0.11281,0.11281
16.65000,0.40402,0.40402
16.67000,0.08352,0.08352
16.69000,-0.20848,-0.20848
16.71000,0.10972,0.10972
16.73000,-0.01562,-0.01562
16.75000,0.99254,0.99254
16.77000,0.17625,0.17625
16.79000,-0.25209,-0.25209
16.81000,-0.15614,-0.15614
16.83000,0.59975,0.59975
16.85000,-0.10236,-0.10236
16.87000,0.65164,0.65164
16.89000,0.03332,0.03332
16.91000,-0.30977,-0.30977
16.93000,-0.95288,-0.95288
16.95000,-0.03761,-0.03761
16.97000,-0.10665,-0.10665
16.99000,-0.25729,-0.25729
17.01000,0.00067,0.00067
17.03000,0.72015,0.72015
17.05000,-0.73434,-0.73434
17.07000,-0.63951,-0.63951
17.09000,0.05105,0.05105
17.11000,0.22588,0.22588
17.13000,-0.32943,-0.32943
17.15000,-0.15460,-0.15460
17.17000,-0.00716,-0.00716
17.19000,0.57083,0.57083
